source_station,target_station,weight,training_abs_correlation,distance_weight,distance_km,mutual_training_days,selected_directed,symmetrized_support
DDSN,P377,0.11913171,0.61668181,0.55994862,107.695,3609,1,1
DDSN,P380,0.10343634,0.59431219,0.30954537,153.144,3630,1,1
DDSN,P383,0.08945768,0.60323280,0.00000000,,3507,1,1
DDSN,P404,0.09038509,0.60948658,0.00000000,,3621,1,1
DDSN,P414,0.08883563,0.59903818,0.00000000,,3618,1,1
ENUM,P376,0.07968102,0.45254028,0.00000000,,3548,1,1
ENUM,P383,0.08037594,0.45648697,0.00000000,,3461,1,1
ENUM,P414,0.08159856,0.46343070,0.00000000,,3564,1,1
ENUM,P420,0.08250647,0.46858707,0.00000000,,3577,1,1
ENUM,P421,0.12327284,0.46426731,0.70754468,83.181,3575,1,1
ENUM,P425,0.08189330,0.46510467,0.00000000,,3576,1,1
ENUM,P434,0.11919564,0.45239890,0.67368174,88.882,3578,1,1
ENUM,P437,0.11670956,0.45295525,0.62965441,96.186,3573,1,1
KTBW,P367,0.09369899,0.66817540,0.00000000,,3599,1,1
KTBW,P376,0.09045479,0.64504069,0.00000000,,3580,1,1
KTBW,P397,0.09281099,0.66184294,0.00000000,,3609,1,1
KTBW,P414,0.09042792,0.64484906,0.00000000,,3596,1,1
KTBW,P418,0.12924618,0.63929492,0.84711099,57.606,3608,1,1
KTBW,P425,0.09341957,0.66618282,0.00000000,,3608,1,1
KTBW,P437,0.13008420,0.64338571,0.85276675,56.439,3605,1,1
KTBW,P439,0.09288252,0.66235304,0.00000000,,3605,1,1
NANO,ALBH,0.06680506,0.70141810,0.54747730,109.767,3639,1,1
NANO,BAMF,0.06127055,0.59217787,0.65551317,91.906,3648,0,1
NANO,NTKA,0.05538438,0.67356664,0.17770386,185.884,3635,0,1
NANO,P367,0.05359388,0.70911092,0.00000000,,3639,1,1
NANO,P398,0.05455321,0.72180402,0.00000000,,3648,1,1
NANO,P401,0.05329713,0.70518452,0.00000000,,3642,1,1
NANO,P414,0.05306501,0.70211333,0.00000000,,3636,1,1
NANO,P417,0.04615503,0.61068606,0.00000000,,3648,0,1
NANO,P425,0.05366206,0.71001297,0.00000000,,3648,1,1
NANO,P439,0.06769626,0.70933640,0.55909717,107.836,3645,1,1
NANO,PGC5,0.06863532,0.67690045,0.69367993,85.527,3647,0,1
NANO,PTRF,0.06499728,0.63128823,0.68610942,86.801,3618,0,1
NANO,QUAD,0.06251206,0.68233865,0.43431094,129.151,3642,0,1
NANO,SC04,0.06833744,0.60975993,0.88327730,49.823,3628,0,1
NANO,UCLU,0.06926343,0.74158067,0.52457082,113.594,3634,1,1
NTKA,ALBH,0.07564083,0.66697401,0.00000000,,3626,1,1
NTKA,BAMF,0.08215990,0.59336591,0.39327252,136.620,3635,0,1
NTKA,BCOV,0.09150965,0.61899471,0.56371439,107.071,3632,0,1
NTKA,NANO,0.08310623,0.67356664,0.17770386,185.884,3635,1,1
NTKA,P367,0.07750417,0.68340427,0.00000000,,3626,1,1
NTKA,P398,0.07833128,0.69069743,0.00000000,,3635,1,1
NTKA,P401,0.08294668,0.73139435,0.00000000,,3629,1,1
NTKA,P402,0.07879288,0.69476759,0.00000000,,3632,1,1
NTKA,QUAD,0.09799939,0.68210667,0.54605144,110.004,3629,1,1
NTKA,UCLU,0.10079703,0.70198733,0.56041515,107.618,3621,1,1
OBSR,P367,0.09168063,0.44747216,0.00000000,,3616,1,1
OBSR,P377,0.09185992,0.44834727,0.00000000,,3604,1,1
OBSR,P401,0.08961520,0.43739128,0.00000000,,3619,1,1
OBSR,P412,0.08901068,0.43444073,0.00000000,,3621,1,1
OBSR,P414,0.08947553,0.43670961,0.00000000,,3613,1,1
OBSR,P425,0.09083214,0.44333088,0.00000000,,3625,1,1
OBSR,P437,0.09363267,0.45699963,0.00000000,,3622,1,1
OBSR,P439,0.09071241,0.44274646,0.00000000,,3622,1,1
P058,P158,0.07901344,0.51725078,0.88013428,50.533,3639,0,1
P058,P160,0.09900628,0.70385903,0.93565190,36.472,3620,1,1
P058,P161,0.09372436,0.64193761,0.95884824,28.991,3623,0,1
P058,P169,0.10563873,0.75330579,0.99144644,13.107,3638,1,1
P058,P324,0.06799877,0.69762522,0.00000000,,3639,1,1
P058,P326,0.09384369,0.66306621,0.89913571,46.113,3639,0,1
P058,P367,0.06596610,0.67677122,0.00000000,,3629,1,1
P058,P398,0.06770043,0.69456440,0.00000000,,3638,1,1
P058,P401,0.06722106,0.68964642,0.00000000,,3632,1,1
P058,P409,0.06469700,0.66375107,0.00000000,,3640,1,1
P058,P425,0.06522775,0.66919631,0.00000000,,3638,1,1
P062,CABL,0.06734328,0.52969962,0.00000000,,3588,0,1
P062,P364,0.08322772,0.65464127,0.00000000,,3598,1,1
P062,P365,0.08597502,0.67625058,0.00000000,,3648,1,1
P062,P377,0.08368544,0.65824157,0.00000000,,3628,1,1
P062,P387,0.08327814,0.52519011,0.38954329,137.316,3631,0,1
P062,P412,0.08829444,0.69449437,0.00000000,,3645,1,1
P062,P414,0.08116187,0.63839203,0.00000000,,3637,1,1
P062,P425,0.08176587,0.64314288,0.00000000,,3649,1,1
P062,P427,0.09081949,0.71435559,0.00000000,,3650,1,1
P062,P732,0.08493561,0.66807497,0.00000000,,3597,1,1
P154,P367,0.09717140,0.63274902,0.00000000,,3604,1,1
P154,P380,0.11529988,0.62549174,0.37591219,139.886,3613,1,1
P154,P398,0.09859326,0.64200765,0.00000000,,3614,1,1
P154,P401,0.09760992,0.63560450,0.00000000,,3607,1,1
P154,P406,0.09983635,0.65010232,0.00000000,,3612,1,1
P154,P409,0.09696698,0.63141787,0.00000000,,3615,1,1
P154,P414,0.09483350,0.61752534,0.00000000,,3601,1,1
P154,UCLU,0.09492841,0.61814332,0.00000000,,3599,1,1
P155,CPXX,0.06122280,0.64993453,0.00000000,,3626,0,1
P155,P158,0.04837279,0.51352030,0.00000000,,3632,0,1
P155,P164,0.06704635,0.71175677,0.00000000,,3565,1,1
P155,P167,0.05919762,0.62843555,0.00000000,,3599,0,1
P155,P168,0.08289361,0.65531236,0.67403150,88.823,3631,1,1
P155,P169,0.08522719,0.67141134,0.70005387,84.451,3631,1,1
P155,P170,0.05806036,0.35803586,0.77497977,71.403,3594,0,1
P155,P362,0.05931555,0.62968737,0.00000000,,3611,0,1
P155,P383,0.06292713,0.66802758,0.00000000,,3508,1,1
P155,P398,0.06159136,0.65384722,0.00000000,,3631,1,1
P155,P404,0.06177843,0.65583313,0.00000000,,3622,1,1
P155,P414,0.06281281,0.66681397,0.00000000,,3619,1,1
P155,P425,0.06257895,0.66433132,0.00000000,,3631,1,1
P155,P696,0.04137715,0.43925527,0.00000000,,3618,0,1
P158,P058,0.10788481,0.51725078,0.88013428,50.533,3639,1,1
P158,P155,0.06834329,0.51352030,0.00000000,,3632,1,1
P158,P164,0.11526774,0.57001686,0.88825840,48.681,3583,1,1
P158,P167,0.12431140,0.60976928,0.97285908,23.459,3617,1,1
P158,P168,0.11445286,0.54468924,0.94587290,33.361,3649,1,1
P158,P169,0.11206114,0.53765756,0.91305476,42.652,3649,1,1
P158,P326,0.10978258,0.51533824,0.92865062,38.477,3650,1,1
P158,P362,0.07044575,0.52931786,0.00000000,,3629,1,1
P160,P058,0.13540818,0.70385903,0.93565190,36.472,3620,1,1
P160,P161,0.12546875,0.61012793,0.99316800,11.709,3615,1,1
P160,P169,0.13752618,0.71307129,0.95567876,30.111,3630,1,1
P160,P324,0.09308374,0.69825292,0.00000000,,3631,1,1
P160,P332,0.08452295,0.63403547,0.00000000,,3570,1,1
P160,P345,0.08194302,0.61468256,0.00000000,,3555,1,1
P160,P398,0.08263411,0.61986673,0.00000000,,3630,1,1
P160,P401,0.08166709,0.61261272,0.00000000,,3624,1,1
P161,P058,0.11710475,0.64193761,0.95884824,28.991,3623,1,1
P161,P160,0.11462396,0.61012793,0.99316800,11.709,3615,1,1
P161,P167,0.11430288,0.61985987,0.95606285,29.977,3601,1,1
P161,P168,0.11987820,0.66397893,0.96104324,28.191,3633,1,1
P161,P169,0.11234666,0.60094303,0.96462536,26.839,3633,1,1
P161,P326,0.11466401,0.63886571,0.90794122,43.949,3634,1,1
P161,P345,0.07224904,0.59324098,0.00000000,,3556,1,1
P161,P398,0.07244786,0.59487349,0.00000000,,3634,1,1
P163,P169,0.09196438,0.57111478,0.00000000,,3649,1,1
P163,P324,0.15166280,0.62759954,0.94275844,34.335,3650,1,1
P163,P332,0.09087443,0.56434602,0.00000000,,3589,1,1
P163,P370,0.09045431,0.56173700,0.00000000,,3647,1,1
P163,P376,0.08910190,0.55333829,0.00000000,,3621,1,1
P163,P380,0.08999003,0.55885369,0.00000000,,3649,1,1
P163,P398,0.08982871,0.55785197,0.00000000,,3649,1,1
P163,P446,0.09142199,0.56774646,0.00000000,,3650,1,1
P164,P155,0.07408080,0.71175677,0.00000000,,3565,1,1
P164,P158,0.09014539,0.57001686,0.88825840,48.681,3583,0,1
P164,P167,0.10716763,0.73516637,0.88345098,49.783,3551,1,1
P164,P168,0.10158399,0.70289707,0.81931859,63.132,3582,1,1
P164,P169,0.07019502,0.67442286,0.00000000,,3582,1,1
P164,P170,0.03714021,0.35683739,0.00000000,,3545,0,1
P164,P326,0.10735186,0.73830968,0.87933129,50.714,3583,1,1
P164,P362,0.06454062,0.62009639,0.00000000,,3562,0,1
P164,P366,0.06882851,0.66129369,0.00000000,,3535,1,1
P164,P377,0.06994036,0.67197615,0.00000000,,3563,1,1
P164,P414,0.07025016,0.67495269,0.00000000,,3570,1,1
P167,P155,0.06756821,0.62843555,0.00000000,,3599,1,1
P167,P158,0.10042792,0.60976928,0.97285908,23.459,3617,1,1
P167,P161,0.10091086,0.61985987,0.95606285,29.977,3601,1,1
P167,P164,0.11070605,0.73516637,0.88345098,49.783,3551,1,1
P167,P168,0.11258379,0.71698225,0.99039692,13.892,3616,1,1
P167,P170,0.07132660,0.35262901,0.93228698,37.447,3579,0,1
P167,P326,0.11148262,0.70762736,0.98773634,15.710,3617,1,1
P167,P362,0.06899845,0.64173782,0.00000000,,3596,1,1
P167,P366,0.06523410,0.60672659,0.00000000,,3569,1,1
P167,P696,0.04740385,0.44089165,0.00000000,,3603,0,1
P168,P155,0.08959327,0.65531236,0.67403150,88.823,3631,1,1
P168,P158,0.08755609,0.54468924,0.94587290,33.361,3649,0,1
P168,P161,0.10021602,0.66397893,0.96104324,28.191,3633,1,1
P168,P164,0.09936859,0.70289707,0.81931859,63.132,3582,1,1
P168,P167,0.10660855,0.71698225,0.99039692,13.892,3616,1,1
P168,P170,0.07088722,0.37206233,0.97258633,23.578,3611,0,1
P168,P326,0.10980833,0.75091034,0.98289728,18.575,3649,1,1
P168,P366,0.06647040,0.65287554,0.00000000,,3601,1,1
P168,P367,0.06715001,0.65955073,0.00000000,,3639,1,1
P168,P414,0.06659254,0.65407526,0.00000000,,3636,1,1
P169,P058,0.08020566,0.75330579,0.99144644,13.107,3638,1,1
P169,P155,0.06695690,0.67141134,0.70005387,84.451,3631,0,1
P169,P158,0.06231284,0.53765756,0.91305476,42.652,3649,0,1
P169,P160,0.07634578,0.71307129,0.95567876,30.111,3630,1,1
P169,P161,0.06826843,0.60094303,0.96462536,26.839,3633,0,1
P169,P163,0.04226531,0.57111478,0.00000000,,3649,0,1
P169,P164,0.04991063,0.67442286,0.00000000,,3582,0,1
P169,P324,0.05272576,0.71246272,0.00000000,,3649,1,1
P169,P327,0.04696038,0.63455743,0.00000000,,3649,0,1
P169,P345,0.05181519,0.70015854,0.00000000,,3571,1,1
P169,P349,0.04754130,0.64240712,0.00000000,,3595,0,1
P169,P362,0.04970407,0.67163181,0.00000000,,3628,0,1
P169,P398,0.05250647,0.70949942,0.00000000,,3648,1,1
P169,P401,0.05185928,0.70075428,0.00000000,,3642,1,1
P169,P414,0.05109739,0.69045907,0.00000000,,3636,1,1
P169,P425,0.05085134,0.68713439,0.00000000,,3648,1,1
P170,P155,0.12191443,0.35803586,0.77497977,71.403,3594,1,1
P170,P164,0.07058124,0.35683739,0.00000000,,3545,1,1
P170,P167,0.13121659,0.35262901,0.93228698,37.447,3579,1,1
P170,P168,0.13771746,0.37206233,0.97258633,23.578,3611,1,1
P170,P404,0.06853212,0.34647766,0.00000000,,3602,1,1
P170,P412,0.06789167,0.34323975,0.00000000,,3607,1,1
P170,P414,0.06893057,0.34849212,0.00000000,,3605,1,1
P170,P434,0.06948706,0.35130551,0.00000000,,3613,1,1
P324,P058,0.06896301,0.69762522,0.00000000,,3639,1,1
P324,P160,0.06902506,0.69825292,0.00000000,,3631,1,1
P324,P163,0.09310582,0.62759954,0.94275844,34.335,3650,0,1
P324,P169,0.07042976,0.71246272,0.00000000,,3649,1,1
P324,P332,0.09435495,0.66323483,0.87376082,51.952,3590,0,1
P324,P367,0.07025245,0.71066910,0.00000000,,3640,1,1
P324,P370,0.06158722,0.62301224,0.00000000,,3648,0,1
P324,P398,0.07103240,0.71855915,0.00000000,,3650,1,1
P324,P414,0.07031282,0.71127987,0.00000000,,3637,1,1
P324,P425,0.06962361,0.70430791,0.00000000,,3649,1,1
P324,P734,0.06994244,0.70753312,0.00000000,,3650,1,1
P324,PSPT,0.05956519,0.60255754,0.00000000,,3499,0,1
P326,P058,0.09769800,0.66306621,0.89913571,46.113,3639,1,1
P326,P158,0.08370563,0.51533824,0.92865062,38.477,3650,0,1
P326,P161,0.09554010,0.63886571,0.90794122,43.949,3634,0,1
P326,P164,0.10466345,0.73830968,0.87933129,50.714,3583,1,1
P326,P167,0.10521676,0.70762736,0.98773634,15.710,3617,1,1
P326,P168,0.10944524,0.75091034,0.98289728,18.575,3649,1,1
P326,P366,0.06692044,0.65947652,0.00000000,,3602,1,1
P326,P367,0.06658360,0.65615702,0.00000000,,3640,1,1
P326,P377,0.06722695,0.66249704,0.00000000,,3628,1,1
P326,P414,0.06769975,0.66715622,0.00000000,,3637,1,1
P327,P169,0.09865654,0.63455743,0.00000000,,3649,1,1
P327,P367,0.10065855,0.64743429,0.00000000,,3640,1,1
P327,P377,0.09755055,0.62744367,0.00000000,,3628,1,1
P327,P398,0.09931586,0.63879812,0.00000000,,3649,1,1
P327,P401,0.10035075,0.64545453,0.00000000,,3643,1,1
P327,P414,0.10020293,0.64450371,0.00000000,,3637,1,1
P327,P733,0.09767584,0.62824953,0.00000000,,3648,1,1
P327,UCLU,0.09829175,0.63221109,0.00000000,,3635,1,1
P332,P160,0.07303293,0.63403547,0.00000000,,3570,0,1
P332,P163,0.06500558,0.56434602,0.00000000,,3589,0,1
P332,P324,0.10994510,0.66323483,0.87376082,51.952,3590,1,1
P332,P367,0.07714642,0.66974676,0.00000000,,3579,1,1
P332,P370,0.06592929,0.57236511,0.00000000,,3587,0,1
P332,P398,0.07799412,0.67710608,0.00000000,,3589,1,1
P332,P401,0.07717568,0.67000073,0.00000000,,3582,1,1
P332,P402,0.07492930,0.65049875,0.00000000,,3585,1,1
P332,P425,0.07526825,0.65344137,0.00000000,,3588,1,1
P332,P446,0.07509083,0.65190107,0.00000000,,3589,1,1
P332,P733,0.07489929,0.65023828,0.00000000,,3587,1,1
P345,P160,0.06309809,0.61468256,0.00000000,,3555,0,1
P345,P161,0.06089708,0.59324098,0.00000000,,3556,0,1
P345,P169,0.07187232,0.70015854,0.00000000,,3571,1,1
